DATA FROM BINANCE
COLLECTED BY StonksBot#2363

StonksBot#2363 [01-Apr-2022]	[20:15] BTC $45341.95
StonksBot#2363 [01-Apr-2022]	[20:30] BTC $45404.38
StonksBot#2363 [01-Apr-2022]	[20:45] BTC $45537.82
StonksBot#2363 [01-Apr-2022]	[21:00] BTC $45455.45
StonksBot#2363 [01-Apr-2022]	[21:15] BTC $45658.00
StonksBot#2363 [01-Apr-2022]	[21:30] BTC $45680.66
StonksBot#2363 [01-Apr-2022]	[21:45] BTC $45717.01
StonksBot#2363 [01-Apr-2022]	[22:00] BTC $46154.67
StonksBot#2363 [01-Apr-2022]	[22:15] BTC $46561.23
StonksBot#2363 [01-Apr-2022]	[22:30] BTC $46565.54
StonksBot#2363 [01-Apr-2022]	[22:45] BTC $46584.66
StonksBot#2363 [01-Apr-2022]	[23:00] BTC $46533.37
StonksBot#2363 [01-Apr-2022]	[23:15] BTC $46517.99
StonksBot#2363 [01-Apr-2022]	[23:30] BTC $46444.40
StonksBot#2363 [01-Apr-2022]	[23:45] BTC $46399.90
StonksBot#2363 [02-Apr-2022]	[0:00] BTC $46047.93
StonksBot#2363 [02-Apr-2022]	[0:15] BTC $46204.70
StonksBot#2363 [02-Apr-2022]	[0:30] BTC $46293.69
StonksBot#2363 [02-Apr-2022]	[0:45] BTC $46467.42
StonksBot#2363 [02-Apr-2022]	[1:00] BTC $46477.42
StonksBot#2363 [02-Apr-2022]	[1:15] BTC $46458.85
StonksBot#2363 [02-Apr-2022]	[1:30] BTC $46366.92
StonksBot#2363 [02-Apr-2022]	[1:45] BTC $46302.70
StonksBot#2363 [02-Apr-2022]	[2:00] BTC $46343.00
StonksBot#2363 [02-Apr-2022]	[2:15] BTC $46276.03
StonksBot#2363 [02-Apr-2022]	[2:30] BTC $46185.52
StonksBot#2363 [02-Apr-2022]	[2:45] BTC $46147.82
StonksBot#2363 [02-Apr-2022]	[3:00] BTC $46336.12
StonksBot#2363 [02-Apr-2022]	[3:15] BTC $46274.12
StonksBot#2363 [02-Apr-2022]	[3:30] BTC $46299.99
StonksBot#2363 [02-Apr-2022]	[3:45] BTC $46212.61
StonksBot#2363 [02-Apr-2022]	[4:00] BTC $46153.22
StonksBot#2363 [02-Apr-2022]	[4:15] BTC $46269.09
StonksBot#2363 [02-Apr-2022]	[4:30] BTC $46420.36
StonksBot#2363 [02-Apr-2022]	[4:45] BTC $46273.01
StonksBot#2363 [02-Apr-2022]	[5:00] BTC $46311.49
StonksBot#2363 [02-Apr-2022]	[5:15] BTC $46367.21
StonksBot#2363 [02-Apr-2022]	[5:30] BTC $46314.77
StonksBot#2363 [02-Apr-2022]	[5:45] BTC $46207.89
StonksBot#2363 [02-Apr-2022]	[6:00] BTC $46357.01
StonksBot#2363 [02-Apr-2022]	[6:15] BTC $46236.86
StonksBot#2363 [02-Apr-2022]	[6:30] BTC $46140.02
StonksBot#2363 [02-Apr-2022]	[6:45] BTC $46219.99
StonksBot#2363 [02-Apr-2022]	[7:00] BTC $46222.49
StonksBot#2363 [02-Apr-2022]	[7:15] BTC $46154.00
StonksBot#2363 [02-Apr-2022]	[7:30] BTC $46222.08
StonksBot#2363 [02-Apr-2022]	[7:45] BTC $46498.96
StonksBot#2363 [02-Apr-2022]	[8:00] BTC $46917.94
StonksBot#2363 [02-Apr-2022]	[8:15] BTC $46931.01
StonksBot#2363 [02-Apr-2022]	[8:30] BTC $46627.33
